generation,average_fitness,median_fitness,best_fitness,worst_fitness
0,6491.4,6490.0,6920,5990
1,6618.2,6625.0,6970,6210
2,6649.6,6665.0,7100,6310
3,6702.4,6715.0,7140,6240
4,6703.4,6695.0,7070,6300
5,6631.6,6650.0,7340,6160
6,6684.4,6655.0,7320,6260
7,6775.4,6690.0,7460,6370
8,6766.2,6745.0,7170,6350
9,6716.8,6735.0,7100,6380
10,6791.8,6780.0,7560,6280
11,6787.8,6770.0,7340,6380
12,6836.0,6815.0,7570,6340
13,6765.8,6765.0,7230,6250
14,6821.2,6795.0,7390,6270
15,6863.2,6850.0,7490,6460
16,6804.0,6800.0,7570,6370
17,6781.2,6740.0,7200,6300
18,6832.2,6785.0,7430,6400
19,6795.8,6785.0,7550,6420
20,6878.2,6810.0,7480,6470
21,6836.6,6820.0,7380,6350
22,6853.2,6820.0,7480,6340
23,6867.6,6810.0,7480,6470
24,6918.2,6890.0,7490,6500
25,6897.2,6865.0,7460,6400
26,6888.2,6850.0,7540,6530
27,6883.4,6870.0,7380,6260
28,6903.4,6860.0,7400,6450
29,6882.2,6825.0,7570,6570
30,6920.8,6885.0,7580,6540
31,6849.6,6835.0,7350,6380
32,6875.0,6840.0,7610,6430
33,6809.2,6805.0,7190,6350
34,6881.2,6885.0,7170,6530
35,6787.8,6730.0,7410,6320
36,6886.6,6905.0,7590,6460
37,6947.8,6900.0,7580,6510
38,6896.4,6885.0,7520,6390
39,6834.2,6795.0,7420,6420
40,6881.2,6845.0,7480,6460
41,6826.8,6800.0,7440,6390
42,6881.4,6895.0,7440,6460
43,6846.8,6775.0,7630,6420
44,6926.2,6915.0,7530,6330
45,6892.2,6845.0,7500,6190
46,6837.8,6790.0,7650,6530
47,6909.0,6910.0,7610,6480
48,6851.0,6805.0,7560,6390
49,6888.4,6875.0,7530,6410
50,6900.8,6845.0,7590,6520
51,6880.0,6855.0,7430,6460
52,6888.2,6840.0,7530,6540
53,6885.0,6870.0,7480,6420
54,6864.6,6855.0,7450,6120
55,6928.4,6880.0,7490,6570
56,6890.0,6900.0,7410,6480
57,6907.8,6895.0,7670,6450
58,6858.6,6845.0,7230,6200
59,6892.0,6870.0,7430,6310
60,6925.2,6920.0,7500,6350
61,6900.8,6905.0,7610,6430
62,6971.4,6950.0,7630,6490
63,6881.2,6865.0,7430,6380
64,6865.6,6875.0,7270,6480
65,6888.8,6880.0,7420,6410
66,6870.2,6875.0,7280,6480
67,6875.6,6905.0,7450,6320
