generation,average_fitness,best_fitness,worst_fitness
0,6065.6,7240.0,5250.0
1,6710.4,7240.0,5250.0
2,6843.4,7240.0,5250.0
3,6846.3,7240.0,5250.0
4,6903.4,7240.0,5250.0
5,6834.0,7240.0,5250.0
6,6897.6,7300.0,5250.0
7,6872.8,7300.0,5250.0
8,6914.8,7300.0,5250.0
9,6990.1,7300.0,5250.0
10,7001.8,7300.0,5250.0
11,6993.5,7300.0,5250.0
12,7078.5,7300.0,5250.0
13,7047.2,7300.0,5250.0
14,6965.7,7300.0,5250.0
15,6985.6,7300.0,5250.0
16,7019.1,7300.0,5250.0
17,7050.5,7360.0,5250.0
18,7044.6,7360.0,5250.0
19,7053.1,7360.0,5250.0
20,6939.2,7360.0,5250.0
21,7078.4,7360.0,5250.0
22,7065.7,7360.0,5250.0
23,7083.1,7360.0,5250.0
24,7095.0,7530.0,5250.0
25,7178.6,7530.0,5250.0
26,7173.6,7570.0,5250.0
27,7213.5,7670.0,5250.0
28,7085.8,7570.0,5250.0
29,7178.9,7570.0,5250.0
30,7320.2,7620.0,5250.0
31,7289.3,7670.0,5250.0
32,7309.5,7670.0,5250.0
33,7302.7,7620.0,5250.0
34,7330.6,7620.0,5390.0
35,7404.6,7670.0,5250.0
36,7369.3,7670.0,5250.0
37,7423.9,7670.0,5250.0
38,7339.2,7670.0,5410.0
39,7222.2,7670.0,5390.0
40,7327.9,7670.0,5250.0
41,7362.3,7670.0,5250.0
42,7403.7,7670.0,5290.0
43,7451.6,7670.0,5410.0
44,7454.7,7670.0,5390.0
45,7437.3,7670.0,5250.0
46,7478.6,7670.0,5250.0
47,7426.0,7670.0,5250.0
48,7422.1,7670.0,5250.0
49,7409.9,7670.0,5250.0
50,7495.2,7670.0,6770.0
